order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit
711,1,Same Day,Consumer,South Carolina,Furnishings,0.836,5,0.0,154.273
1040,1,Same Day,Corporate,Pennsylvania,Paper,29.8202,2,0.0,208.794
480,3,Standard Class,Consumer,California,Labels,80.4194,2,0.0,10.4108
378,2,Second Class,Consumer,Washington,Bookcases,89.4947,3,0.0,33.9006
408,6,Standard Class,Consumer,Kansas,Paper,178.149,1,0.0,295.2838
713,0,Same Day,Corporate,Illinois,Chairs,11.6618,6,0.0,141.7358
1062,5,Second Class,Consumer,Florida,Binders,83.8667,3,0.0,-7.7503
336,5,Second Class,Consumer,Texas,Accessories,68.2226,3,0.0,105.157
279,6,Standard Class,Consumer,New York,Supplies,43.2586,2,0.0,-3.6357
233,4,Second Class,Consumer,New York,Furnishings,82.5835,2,0.0,156.7237
1093,4,Second Class,Consumer,Arkansas,Envelopes,59.0873,5,0.2,15.7384
753,4,First Class,Corporate,New York,Binders,152.8762,2,0.0,-35.507
405,2,Second Class,Home Office,California,Accessories,48.1328,6,0.0,11.8096
724,4,First Class,Consumer,Maryland,Bookcases,88.6246,4,0.0,26.8861
433,4,Standard Class,Corporate,Ohio,Binders,78.086,2,0.0,31.381
745,5,Standard Class,Home Office,Pennsylvania,Fasteners,88.9402,5,0.0,35.8746
319,5,Standard Class,Corporate,Missouri,Labels,79.0071,6,0.0,115.8381
483,4,Standard Class,Home Office,Kentucky,Binders,78.7309,3,0.8,135.6029
436,4,First Class,Corporate,Ohio,Phones,73.6763,5,0.0,84.695
1066,4,Standard Class,Consumer,California,Accessories,83.4693,4,0.0,161.4918
560,3,Second Class,Consumer,Tennessee,Accessories,40.5928,7,0.0,90.6503
722,4,First Class,Consumer,California,Paper,95.4705,2,0.0,30.6901
844,7,Standard Class,Consumer,Pennsylvania,Chairs,198.2266,3,0.0,109.3246
719,6,Standard Class,Consumer,California,Appliances,53.3782,2,0.0,119.9257
586,5,Second Class,Consumer,New Jersey,Art,36.0901,10,0.2,-7.9097
250,3,Standard Class,Home Office,New York,Envelopes,85.9571,2,0.0,32.6771
624,3,Standard Class,Corporate,Michigan,Binders,21.4494,2,0.0,252.7503
279,2,Second Class,Consumer,North Carolina,Phones,61.4311,5,0.2,31.5339
1022,5,Second Class,Home Office,Kentucky,Accessories,83.0449,5,0.7,292.2259
198,4,First Class,Corporate,Connecticut,Paper,80.7781,2,0.0,19.3581
857,5,Standard Class,Corporate,Oregon,Binders,78.6421,5,0.0,102.2614
452,4,First Class,Corporate,Virginia,Labels,56.0735,2,0.0,231.7728
117,4,First Class,Consumer,Vermont,Storage,61.2181,2,0.0,38.3853
1003,3,Standard Class,Home Office,California,Art,70.1658,2,0.0,3086.9868
460,5,Second Class,Consumer,Florida,Phones,46.918,2,0.0,231.6571
1093,5,Second Class,Home Office,Florida,Binders,40.4749,5,0.0,154.5794
278,3,Standard Class,Consumer,California,Furnishings,352.5341,4,0.0,259.9575
1071,3,Standard Class,Consumer,New York,Paper,73.6742,5,0.0,279.626
369,4,First Class,Consumer,Texas,Supplies,303.5663,3,0.0,93.0654
304,4,Standard Class,Corporate,Texas,Art,2.6435,5,0.8,115.0468
302,3,Second Class,Consumer,Ohio,Chairs,73.9467,3,0.0,138.2205
956,1,First Class,Consumer,Tennessee,Furnishings,375.2641,6,0.0,29.0294
131,1,Same Day,Home Office,California,Chairs,73.9196,5,0.0,47.6725
359,4,First Class,Consumer,Virginia,Bookcases,24.4803,5,0.2,268.3002
802,4,First Class,Corporate,New Jersey,Binders,74.2626,5,0.0,20.0674
385,1,First Class,Corporate,Florida,Bookcases,136.2654,2,0.0,-8.5971
709,1,First Class,Consumer,Florida,Furnishings,30.9874,7,0.0,3.8553
414,4,Standard Class,Home Office,Texas,Chairs,220.483,2,0.0,451.6489
579,1,Second Class,Consumer,California,Bookcases,30.9452,2,0.0,73.7397
316,4,First Class,Consumer,Wisconsin,Binders,91.3524,2,0.2,212.6041
685,1,Same Day,Home Office,Delaware,Chairs,243.1235,5,0.0,101.4594
761,1,Second Class,Corporate,California,Binders,73.252,10,0.2,90.9745
1020,3,Standard Class,Home Office,California,Storage,0.836,5,0.2,52.0388
228,3,Standard Class,Consumer,California,Labels,18.152,2,0.0,130.6894
748,6,Standard Class,Home Office,Michigan,Binders,73.8458,7,0.0,107.0831
461,4,Standard Class,Consumer,Tennessee,Supplies,86.1494,2,0.2,354.4908
996,4,First Class,Consumer,Rhode Island,Phones,2398.57,4,0.0,261.0235
966,3,First Class,Consumer,Arizona,Binders,83.6173,2,0.0,156.2653
977,5,Second Class,Consumer,Vermont,Paper,65.0411,9,0.0,9.0722
299,3,Standard Class,Consumer,Pennsylvania,Accessories,5.1471,7,0.0,492.1571
798,4,First Class,Consumer,Virginia,Phones,86.4347,7,0.0,253.4591
370,6,Standard Class,Corporate,Michigan,Art,75.9313,5,0.0,5.8801
365,3,Standard Class,Consumer,California,Phones,197.8937,6,0.0,6.1583
407,4,First Class,Home Office,Pennsylvania,Storage,61.4818,2,0.0,28.5854
