order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit
572,4,Standard Class,Consumer,California,Phones,83.9041,3,0.0,88.0396
991,4,Standard Class,Consumer,California,Paper,31.1165,3,0.2,4.8282
1011,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.7,-9.1777
726,5,Standard Class,Consumer,California,Paper,55.2665,3,0.0,8.6952
1093,4,Standard Class,Consumer,California,Binders,0.836,3,0.2,20.8272
1075,4,Standard Class,Consumer,California,Art,13.3376,2,0.2,6.5545
988,4,Standard Class,Consumer,California,Paper,15.5066,2,0.0,11.0473
280,4,Standard Class,Consumer,California,Binders,14.172,3,0.2,6.3715
288,2,Second Class,Consumer,California,Binders,0.836,2,0.2,-3.4003
1066,4,Standard Class,Consumer,Pennsylvania,Binders,19.3558,2,0.2,-7.2397
986,3,Standard Class,Consumer,Texas,Binders,8.0876,3,0.2,9.4067
1006,4,Standard Class,Consumer,Pennsylvania,Binders,47.8782,3,0.2,-8.2868
1067,4,Standard Class,Consumer,California,Storage,62.4677,3,0.2,10.2477
309,4,Standard Class,Consumer,California,Paper,35.1174,2,0.0,16.8038
1061,2,Second Class,Consumer,California,Phones,14.8176,3,0.2,3.3019
977,4,Standard Class,Consumer,California,Paper,33.8032,2,0.2,16.0625
990,5,Standard Class,Consumer,California,Paper,36.8395,3,0.0,18.9197
1000,4,Standard Class,Consumer,California,Paper,27.5616,2,0.2,1.8789
1092,4,Standard Class,Consumer,Texas,Binders,11.7191,2,0.2,13.2612
985,4,Standard Class,Consumer,California,Binders,34.8045,2,0.2,-0.653
281,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.7,-6.6774
258,4,Standard Class,Consumer,Texas,Binders,12.0951,2,0.7,-3.1805
1081,4,Standard Class,Consumer,California,Paper,36.6647,2,0.0,10.2676
968,4,Standard Class,Consumer,Texas,Chairs,359.8091,3,0.2,23.214
990,4,Standard Class,Consumer,California,Phones,333.5046,3,0.0,46.4709
339,4,Standard Class,Consumer,Texas,Binders,0.836,3,0.7,-124.0413
239,4,Standard Class,Consumer,Texas,Binders,8.7315,2,0.7,2.167
303,4,Standard Class,Consumer,California,Phones,347.5688,3,0.2,50.0625
308,4,Standard Class,Consumer,Texas,Binders,16.7575,3,0.2,0.1286
719,4,Standard Class,Consumer,California,Paper,131.3063,3,0.0,68.2513
1089,4,Standard Class,Consumer,Texas,Binders,3.1428,2,0.2,-10.6923
752,4,Standard Class,Consumer,California,Paper,61.5478,3,0.0,17.578
669,4,Standard Class,Consumer,California,Paper,163.7454,3,0.0,12.3939
1016,4,Standard Class,Consumer,California,Binders,3.2768,2,0.2,17.4438
1020,3,Standard Class,Consumer,California,Phones,218.5044,3,0.0,68.1901
256,4,Standard Class,Consumer,Texas,Binders,18.2654,3,0.2,8.1838
1020,4,Standard Class,Consumer,California,Paper,29.0519,3,0.0,13.1133
1072,5,Standard Class,Consumer,California,Paper,25.9233,2,0.0,-1.652
1086,4,Standard Class,Consumer,California,Paper,9.5388,2,0.2,6.9362
1022,4,Standard Class,Consumer,Pennsylvania,Binders,57.0491,2,0.2,-5.061
1013,5,Standard Class,Consumer,California,Paper,15.9057,2,0.0,13.2006
689,4,Standard Class,Consumer,Texas,Chairs,44.8263,3,0.2,-3.4772
983,4,Standard Class,Consumer,California,Phones,421.9198,3,0.0,-12.6537
410,4,Standard Class,Consumer,California,Phones,452.5746,3,0.2,7.5518
1093,4,Standard Class,Consumer,California,Paper,0.836,3,0.2,13.748
1075,5,Standard Class,Consumer,California,Accessories,181.9058,3,0.0,26.4545
716,4,Standard Class,Consumer,California,Paper,16.2185,2,0.0,-2.2709
1050,4,Standard Class,Consumer,California,Paper,89.1815,3,0.0,15.9364
227,4,Standard Class,Consumer,Texas,Binders,39.3333,2,0.2,9.93
1035,4,Standard Class,Consumer,California,Paper,0.836,3,0.0,-2.6176
309,4,Standard Class,Consumer,California,Binders,0.836,2,0.2,5.7105
970,3,Standard Class,Consumer,California,Binders,86.9574,3,0.2,-1.2589
988,4,Standard Class,Consumer,California,Paper,22.5165,2,0.2,-2.0483
1039,4,Standard Class,Consumer,California,Paper,41.7548,3,0.0,13.4901
1019,4,Standard Class,Consumer,California,Paper,53.8175,3,0.0,15.8088
1036,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.7,-10.7798
1036,4,Standard Class,Consumer,California,Paper,10.3814,3,0.0,-0.3418
1080,4,Standard Class,Consumer,California,Binders,58.089,2,0.2,5.1886
1005,4,Standard Class,Consumer,California,Art,4.8245,2,0.2,-2.9551
317,4,Standard Class,Consumer,Texas,Binders,256.0985,3,0.2,11.3709
996,4,Standard Class,Consumer,California,Paper,14.4775,3,0.0,1.6669
1035,4,Standard Class,Consumer,California,Phones,369.6538,3,0.0,29.8651
991,4,Standard Class,Consumer,California,Paper,14.4822,2,0.0,10.4757
1015,4,Standard Class,Consumer,California,Paper,21.0236,2,0.0,2.1064
304,4,Standard Class,Consumer,Texas,Binders,48.3367,3,0.2,8.4548
1020,4,Standard Class,Consumer,California,Accessories,151.4783,3,0.0,7.6203
982,4,Standard Class,Consumer,California,Binders,10.463,3,0.2,-8.6173
1032,4,Standard Class,Consumer,California,Paper,13.5866,2,0.0,0.5077
1068,3,Standard Class,Consumer,California,Paper,9.0658,3,0.0,6.1792
707,4,Standard Class,Consumer,California,Binders,14.5724,3,0.2,6.8164
323,4,Standard Class,Consumer,Texas,Binders,26.5389,2,0.2,3.2612
959,4,Standard Class,Consumer,California,Phones,306.0081,3,0.0,44.5841
243,4,Standard Class,Consumer,California,Binders,1.7902,2,0.2,12.1832
988,4,Standard Class,Consumer,California,Paper,5.6141,3,0.0,7.411
1025,4,Standard Class,Consumer,California,Paper,11.2477,2,0.0,-3.5578
1013,4,Standard Class,Consumer,California,Furnishings,120.4738,2,0.0,14.6356
1057,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.2,2.349
987,4,Standard Class,Consumer,California,Storage,69.298,3,0.0,25.2888
938,4,Standard Class,Consumer,California,Chairs,201.9772,3,0.2,34.8748
671,3,Standard Class,Consumer,California,Phones,112.3649,3,0.0,35.7544
975,4,Standard Class,Consumer,California,Paper,46.3909,2,0.0,1.9011
997,4,Standard Class,Consumer,California,Paper,39.3655,2,0.0,15.4253
1053,4,Standard Class,Consumer,Pennsylvania,Binders,33.313,2,0.7,-6.3123
1037,4,Standard Class,Consumer,California,Paper,33.0832,3,0.0,15.4047
1004,4,Standard Class,Consumer,California,Furnishings,114.8236,3,0.2,45.4882
1043,4,Standard Class,Consumer,California,Phones,118.744,3,0.0,24.3723
1069,4,Standard Class,Consumer,California,Paper,42.1883,3,0.0,6.8157
1027,4,Standard Class,Consumer,California,Paper,11.3637,3,0.0,9.4937
1020,4,Standard Class,Consumer,California,Paper,6.474,3,0.0,14.0464
377,4,Standard Class,Consumer,Texas,Binders,31.8222,2,0.2,-2.5818
1024,4,Standard Class,Consumer,California,Paper,0.836,2,0.0,14.6789
1014,4,Standard Class,Consumer,Texas,Binders,36.5756,3,0.2,0.0819
259,4,Standard Class,Consumer,Texas,Binders,12.0385,3,0.7,-1.3904
627,4,Standard Class,Consumer,Texas,Chairs,389.2842,3,0.2,-8.7383
1056,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.7,3.5556
1047,4,Standard Class,Consumer,California,Paper,35.2586,2,0.0,7.6057
334,3,Standard Class,Consumer,California,Paper,21.9394,3,0.0,29.6881
1043,4,Standard Class,Consumer,California,Paper,0.836,2,0.2,7.9372
1027,4,Standard Class,Consumer,California,Chairs,426.9574,3,0.0,155.0299
368,4,Standard Class,Consumer,Texas,Chairs,323.3341,3,0.3,-48.6181
673,4,Standard Class,Consumer,California,Chairs,369.2498,3,0.0,67.3845
1050,4,Standard Class,Consumer,Texas,Binders,38.909,3,0.7,-12.0886
1002,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.2,1.0715
1025,4,Standard Class,Consumer,California,Paper,57.4971,2,0.0,18.7288
1054,4,Standard Class,Consumer,California,Binders,36.4382,3,0.2,-1.8855
1023,4,Standard Class,Consumer,Texas,Binders,10.342,2,0.2,-2.1061
1005,4,Standard Class,Consumer,California,Paper,15.5136,2,0.2,2.314
270,4,Standard Class,Consumer,California,Paper,30.7879,2,0.0,19.592
1002,4,Standard Class,Consumer,Texas,Binders,10.027,2,0.2,0.5418
1045,3,Standard Class,Consumer,Texas,Binders,0.9531,2,0.2,-7.9354
972,4,Standard Class,Consumer,California,Art,26.8586,2,0.0,5.2964
1003,4,Standard Class,Consumer,California,Phones,30.5532,3,0.2,-5.3797
1029,4,Standard Class,Consumer,California,Paper,58.1913,3,0.0,16.396
1009,4,Standard Class,Consumer,Texas,Binders,40.0802,3,0.2,0.8338
1022,4,Standard Class,Consumer,California,Paper,0.836,3,0.0,14.5566
726,4,Standard Class,Consumer,California,Phones,60.1341,3,0.2,-1.8408
1025,4,Standard Class,Consumer,California,Paper,13.0073,2,0.0,8.2042
179,4,Standard Class,Consumer,California,Phones,94.2411,3,0.2,14.2963
421,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.8,-5.0563
991,4,Standard Class,Consumer,Texas,Binders,35.6474,2,0.2,0.1748
327,4,Standard Class,Consumer,Texas,Binders,28.3841,2,0.2,25.5449
1006,4,Standard Class,Consumer,California,Paper,0.836,2,0.0,9.2743
1040,4,Standard Class,Consumer,California,Binders,27.0133,2,0.2,15.516
