order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit
711,4,Standard Class,Corporate,Florida,Art,69.1807,5,0.0,344.3385
419,2,Standard Class,Home Office,New York,Furnishings,84.6903,2,0.0,38.3706
1093,6,First Class,Corporate,Missouri,Fasteners,38.2971,4,0.2,-101.135
1092,4,Second Class,Corporate,California,Storage,70.6598,5,0.0,3921.7729
173,5,Standard Class,Consumer,California,Art,50.2572,2,0.0,59.7029
998,6,Standard Class,Consumer,North Carolina,Paper,81.3969,3,0.0,32.2001
811,1,Standard Class,Consumer,California,Chairs,95.5431,2,0.0,125.9359
867,0,First Class,Consumer,Nevada,Labels,222.8649,6,0.0,315.836
658,3,Standard Class,Home Office,North Carolina,Art,767.7765,3,0.71,105.0409
408,1,Standard Class,Home Office,Florida,Storage,68.3403,6,0.0,4336.6924
960,2,Second Class,Consumer,California,Furnishings,87.1563,2,0.01,-56.8338
764,1,Standard Class,Consumer,Arkansas,Storage,104.5115,2,0.01,36.989
411,6,Same Day,Home Office,Illinois,Paper,83.936,2,0.2,38.2953
968,3,Second Class,Corporate,Illinois,Envelopes,59.5469,4,0.0,84.9362
794,1,Standard Class,Consumer,Oregon,Chairs,215.9795,2,0.02,24.1628
191,2,Standard Class,Consumer,Maryland,Furnishings,64.2747,2,0.0,20.0986
964,1,First Class,Corporate,Kansas,Chairs,438.7769,2,0.0,56.6194
752,6,First Class,Consumer,California,Chairs,77.8966,8,0.0,-15.6375
1093,6,Second Class,Home Office,Pennsylvania,Accessories,291.7005,5,0.19,-6.6837
889,2,Standard Class,Consumer,New York,Envelopes,465.5251,3,0.21,22.5124
806,2,Second Class,Consumer,Ohio,Paper,65.0734,9,0.0,13.505
811,3,Standard Class,Consumer,California,Phones,292.3824,2,0.0,-1.9413
721,6,Standard Class,Consumer,Connecticut,Paper,68.9291,5,0.0,218.2964
824,1,Standard Class,Home Office,Montana,Paper,93.4652,2,0.0,40.7328
793,6,Standard Class,Home Office,North Carolina,Art,69.9571,2,0.01,226.5079
1056,0,Standard Class,Corporate,Iowa,Storage,632.7648,2,0.01,51.0484
818,6,Second Class,Consumer,New York,Paper,92.7003,6,0.0,24.6257
335,2,Standard Class,Consumer,Illinois,Binders,33.7194,2,0.0,111.907
986,2,Standard Class,Corporate,Ohio,Accessories,44.8658,8,0.2,77.0756
354,5,Standard Class,Consumer,Illinois,Paper,70.3277,6,0.0,29.3407
371,1,Standard Class,Consumer,Utah,Art,37.0665,5,0.0,277.0301
336,2,Second Class,Corporate,Arizona,Tables,324.6523,3,0.0,1006.4649
286,6,Same Day,Corporate,Florida,Envelopes,52.0943,2,0.0,24.6825
1093,4,Standard Class,Consumer,Virginia,Tables,108.2448,2,0.01,-14.1769
671,3,Standard Class,Corporate,Texas,Fasteners,7.095,2,0.0,324.5832
1067,3,Standard Class,Consumer,Connecticut,Appliances,439.3574,2,0.29,12.0303
812,1,First Class,Home Office,Florida,Binders,92.3801,2,0.57,12.9708
448,3,Standard Class,Consumer,Arkansas,Appliances,108.9029,2,0.0,56.8036
1039,3,Standard Class,Corporate,California,Binders,89.4003,2,0.0,31.474
576,6,Standard Class,Home Office,Texas,Machines,2150.5379,2,0.0,53.0475
1004,6,Second Class,Corporate,Washington,Accessories,1178.1141,1,0.0,-25.3205
813,6,Second Class,Consumer,California,Accessories,45.9905,2,0.01,852.6967
680,1,Standard Class,Corporate,California,Paper,44.3244,4,0.0,24.2353
980,2,Standard Class,Consumer,Louisiana,Copiers,53.141,7,0.2,-71.3258
667,2,Standard Class,Home Office,Rhode Island,Chairs,77.4938,4,0.0,70.6377
1093,6,Standard Class,Corporate,California,Appliances,33.2177,3,0.0,19.8762
510,4,Standard Class,Home Office,Mississippi,Tables,470.6173,6,0.01,-181.4815
1047,6,First Class,Corporate,California,Supplies,2205.0336,2,0.0,195.2167
343,0,First Class,Corporate,Texas,Art,42.4851,5,0.0,9.7406
981,3,First Class,Consumer,New York,Storage,91.4678,3,0.0,134.6438
1093,4,Second Class,Consumer,New York,Phones,591.9517,5,0.01,26.4768
1046,4,Second Class,Consumer,Oklahoma,Furnishings,444.7807,6,0.0,35.7124
776,3,Standard Class,Consumer,Maryland,Paper,103.5395,2,0.74,359.9806
625,4,Standard Class,Home Office,Ohio,Appliances,67.7109,1,0.0,74.6636
458,6,First Class,Corporate,Michigan,Furnishings,279.5167,2,0.0,116.0313
1016,3,Standard Class,Consumer,Rhode Island,Accessories,47.5186,2,0.0,-31.4835
989,3,Standard Class,Consumer,California,Phones,42.278,6,0.19,253.0458
281,0,First Class,Corporate,Connecticut,Paper,98.8656,3,0.0,17.0298
664,5,Standard Class,Home Office,Pennsylvania,Art,43.4509,3,0.0,27.1067
648,3,Standard Class,Home Office,Texas,Accessories,142.1354,3,0.01,32.725
229,5,Standard Class,Corporate,Connecticut,Appliances,22.4497,8,0.0,123.3164
595,0,First Class,Consumer,Ohio,Storage,63.894,5,0.34,95.3403
1037,7,Standard Class,Consumer,Michigan,Chairs,67.846,2,0.0,3.4736
1093,3,Second Class,Consumer,California,Appliances,595.8266,2,0.0,1001.7339
1093,4,Standard Class,Home Office,Texas,Machines,21.2764,6,0.0,17.3753
