order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit
275,4,Standard Class,Consumer,California,Paper,29.5159,3,0.0,20.6242
721,4,Standard Class,Consumer,California,Paper,0.836,3,0.0,9.8265
1043,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.2,-3.7382
1050,4,Standard Class,Consumer,Texas,Binders,30.955,3,0.2,11.3401
1048,4,Standard Class,Consumer,Texas,Binders,51.2508,2,0.71,-15.3772
708,5,Standard Class,Consumer,California,Storage,132.5636,3,0.0,64.9048
1057,4,Standard Class,Consumer,Texas,Binders,29.472,2,0.2,3.4415
1047,4,Standard Class,Consumer,California,Paper,10.9874,2,0.0,6.9811
707,4,Standard Class,Consumer,California,Phones,214.709,3,0.0,88.4835
1076,2,Standard Class,Consumer,California,Binders,82.7043,3,0.2,11.9117
1003,4,Standard Class,Consumer,California,Paper,42.9536,3,0.0,20.0409
1093,4,Standard Class,Consumer,California,Paper,11.2495,3,0.0,27.9813
1033,4,Standard Class,Consumer,California,Phones,52.7395,3,0.2,2.0468
639,4,Standard Class,Consumer,California,Storage,175.7417,3,0.0,11.1517
1068,4,Standard Class,Consumer,California,Chairs,429.9288,3,0.2,48.6409
337,2,Standard Class,Consumer,California,Paper,91.0716,3,0.0,13.8676
991,4,Standard Class,Consumer,California,Paper,25.3298,3,0.0,-1.9678
1014,4,Standard Class,Consumer,California,Paper,39.378,3,0.0,10.2861
1041,5,Standard Class,Consumer,California,Storage,37.973,3,0.2,19.4052
1008,4,Standard Class,Consumer,California,Binders,48.785,2,0.2,-4.2298
697,5,Standard Class,Consumer,New York,Chairs,189.6202,3,0.0,108.4052
981,4,Standard Class,Consumer,California,Phones,386.3594,3,0.0,34.475
361,4,Standard Class,Consumer,California,Binders,27.9306,2,0.2,10.9447
1062,2,Standard Class,Consumer,California,Paper,134.7654,3,0.0,8.2477
571,5,Standard Class,Consumer,California,Paper,42.8477,3,0.0,13.8745
658,4,Standard Class,Consumer,Texas,Binders,30.0316,3,0.2,-10.0817
1044,4,Standard Class,Consumer,California,Binders,35.3175,2,0.2,4.9248
756,5,Standard Class,Consumer,California,Paper,208.2583,3,0.0,25.4792
281,4,Standard Class,Consumer,California,Binders,27.5507,3,0.2,13.1063
268,4,Standard Class,Consumer,Texas,Binders,0.836,2,0.72,-2.8799
382,4,Standard Class,Consumer,California,Binders,20.8509,2,0.2,11.4629
1061,4,Standard Class,Consumer,California,Paper,24.2543,3,0.0,18.4902
973,4,Standard Class,Consumer,California,Binders,17.0964,2,0.2,-1.8779
991,2,Standard Class,Consumer,California,Paper,23.2227,2,0.0,0.6581
