order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit
1040,3,Second Class,Consumer,Kentucky,Bookcases,261.96,2,0.0,41.9136
1040,3,Second Class,Consumer,Kentucky,Chairs,731.94,3,0.0,219.582
891,4,Second Class,Corporate,California,Labels,14.62,2,0.0,6.8714
646,7,Standard Class,Consumer,Florida,Tables,957.5775,5,0.45,-383.031
646,7,Standard Class,Consumer,Florida,Storage,22.368,2,0.2,2.5164
157,5,Standard Class,Consumer,California,Furnishings,48.86,7,0.0,14.1694
157,5,Standard Class,Consumer,California,Art,7.28,4,0.0,1.9656
157,5,Standard Class,Consumer,California,Phones,907.152,6,0.2,90.7152
157,5,Standard Class,Consumer,California,Binders,18.504,3,0.2,5.7825
157,5,Standard Class,Consumer,California,Appliances,114.9,5,0.0,34.47
157,5,Standard Class,Consumer,California,Tables,1706.184,9,0.2,85.3092
157,5,Standard Class,Consumer,California,Phones,911.424,4,0.2,68.3568
1067,5,Standard Class,Consumer,Washington,Binders,407.976,3,0.2,132.5922
688,4,Standard Class,Home Office,Texas,Appliances,68.81,5,0.8,-123.858
688,4,Standard Class,Home Office,Texas,Binders,2.544,3,0.8,-3.816
312,7,Standard Class,Consumer,Wisconsin,Storage,665.88,6,0.0,13.3176
130,2,Second Class,Consumer,Utah,Storage,55.5,2,0.0,9.99
236,5,Second Class,Consumer,California,Art,8.56,2,0.0,2.4824
236,5,Second Class,Consumer,California,Phones,213.48,3,0.2,16.011
236,5,Second Class,Consumer,California,Binders,22.72,4,0.2,7.384
1071,4,Standard Class,Corporate,Nebraska,Art,19.46,7,0.0,5.0596
1071,4,Standard Class,Corporate,Nebraska,Appliances,60.34,7,0.0,15.6884
630,5,Standard Class,Consumer,Utah,Tables,1044.63,3,0.0,240.2649
743,4,Second Class,Consumer,California,Binders,11.648,2,0.2,4.2224
743,4,Second Class,Consumer,California,Accessories,90.57,3,0.0,11.7741
622,4,Standard Class,Consumer,Pennsylvania,Bookcases,3083.43,7,0.5,-1665.0522
622,4,Standard Class,Consumer,Pennsylvania,Binders,9.618,2,0.7,-7.0532
622,4,Standard Class,Consumer,Pennsylvania,Furnishings,124.2,3,0.2,15.525
622,4,Standard Class,Consumer,Pennsylvania,Envelopes,3.264,2,0.2,1.1016
622,4,Standard Class,Consumer,Pennsylvania,Art,86.304,6,0.2,9.7092
622,4,Standard Class,Consumer,Pennsylvania,Binders,6.858,6,0.7,-5.715
622,4,Standard Class,Consumer,Pennsylvania,Art,15.76,2,0.2,3.546
1070,2,First Class,Corporate,Texas,Phones,1097.544,7,0.2,123.4737
1070,2,First Class,Corporate,Texas,Furnishings,190.92,5,0.6,-147.963
723,4,Standard Class,Home Office,Texas,Envelopes,113.328,9,0.2,35.415
723,4,Standard Class,Home Office,Texas,Bookcases,532.3992,3,0.32,-46.9764
723,4,Standard Class,Home Office,Texas,Chairs,212.058,3,0.3,-15.147
723,4,Standard Class,Home Office,Texas,Phones,371.168,4,0.2,41.7564
926,5,Standard Class,Corporate,California,Storage,77.88,2,0.0,3.894
798,2,First Class,Corporate,Minnesota,Accessories,45.98,2,0.0,19.7714
798,2,First Class,Corporate,Minnesota,Binders,17.46,2,0.0,8.2062
290,5,Second Class,Consumer,Michigan,Storage,211.96,4,0.0,8.4784
899,5,Standard Class,Consumer,Delaware,Accessories,45.0,3,0.0,4.95
899,5,Standard Class,Consumer,Delaware,Phones,21.8,2,0.0,6.104
470,4,Standard Class,Consumer,Indiana,Binders,38.22,6,0.0,17.9634
470,4,Standard Class,Consumer,Indiana,Labels,75.18,6,0.0,35.3346
470,4,Standard Class,Consumer,Indiana,Furnishings,6.16,2,0.0,2.9568
470,4,Standard Class,Consumer,Indiana,Chairs,89.99,1,0.0,17.0981
1073,6,Standard Class,Corporate,New York,Fasteners,15.26,7,0.0,6.2566
1073,6,Standard Class,Corporate,New York,Phones,1029.95,5,0.0,298.6855
896,1,First Class,Consumer,New York,Storage,208.56,6,0.0,52.14
896,1,First Class,Consumer,New York,Paper,32.4,5,0.0,15.552
896,1,First Class,Consumer,New York,Chairs,319.41,5,0.1,7.098
896,1,First Class,Consumer,New York,Paper,14.56,2,0.0,6.9888
896,1,First Class,Consumer,New York,Accessories,30.0,2,0.0,3.3
896,1,First Class,Consumer,New York,Binders,48.48,4,0.2,16.362
896,1,First Class,Consumer,New York,Art,1.68,1,0.0,0.84
690,6,Standard Class,Consumer,California,Accessories,13.98,2,0.0,6.1512
690,6,Standard Class,Consumer,California,Binders,25.824,6,0.2,9.3612
690,6,Standard Class,Consumer,California,Paper,146.73,3,0.0,68.9631
690,6,Standard Class,Consumer,California,Furnishings,79.76,4,0.0,22.3328
482,5,Standard Class,Home Office,Illinois,Chairs,213.115,5,0.3,-15.2225
336,5,Standard Class,Corporate,Arizona,Art,1113.024,8,0.2,111.3024
336,5,Standard Class,Corporate,Arizona,Phones,167.968,4,0.2,62.988
883,2,First Class,Consumer,Virginia,Paper,75.88,2,0.0,35.6636
989,5,Standard Class,Consumer,New York,Binders,4.616,1,0.2,1.731
478,6,Standard Class,Consumer,Tennessee,Chairs,831.936,8,0.2,-114.3912
478,6,Standard Class,Consumer,Tennessee,Furnishings,97.04,2,0.2,1.213
478,6,Standard Class,Consumer,Tennessee,Storage,72.784,1,0.2,-18.196
327,5,Second Class,Consumer,Texas,Furnishings,19.3,5,0.6,-14.475
891,3,First Class,Corporate,Alabama,Appliances,208.16,1,0.0,56.2032
891,3,First Class,Corporate,Alabama,Binders,16.74,3,0.0,8.0352
282,4,Standard Class,Consumer,California,Art,14.9,5,0.0,4.172
282,4,Standard Class,Consumer,California,Storage,21.39,1,0.0,6.2031
608,5,Standard Class,Corporate,North Carolina,Envelopes,200.984,7,0.2,62.8075
823,5,Second Class,Home Office,Texas,Storage,158.368,7,0.2,13.8572
988,5,Standard Class,Corporate,California,Art,20.1,3,0.0,6.633
988,5,Standard Class,Corporate,California,Phones,73.584,2,0.2,8.2782
988,5,Standard Class,Corporate,California,Paper,6.48,1,0.0,3.1104
393,5,Second Class,Consumer,Minnesota,Paper,12.96,2,0.0,6.2208
393,5,Second Class,Consumer,Minnesota,Furnishings,53.34,3,0.0,16.5354
393,5,Second Class,Consumer,Minnesota,Binders,32.96,2,0.0,16.1504
977,5,Standard Class,Corporate,Minnesota,Appliances,77.88,6,0.0,22.5852
969,4,Standard Class,Home Office,Illinois,Paper,64.624,7,0.2,22.6184
969,4,Standard Class,Home Office,Illinois,Accessories,95.976,3,0.2,-10.7973
969,4,Standard Class,Home Office,Illinois,Binders,1.788,3,0.8,-3.0396
1063,3,Second Class,Consumer,Minnesota,Paper,23.92,4,0.0,11.7208
679,4,Standard Class,Consumer,Colorado,Accessories,238.896,6,0.2,-26.8758
679,4,Standard Class,Consumer,Colorado,Furnishings,102.36,3,0.2,-3.8385
679,4,Standard Class,Consumer,Colorado,Binders,36.882,3,0.7,-25.8174
650,5,Standard Class,Home Office,Illinois,Accessories,339.96,5,0.2,67.992
1035,7,Standard Class,Consumer,Iowa,Art,75.96,2,0.0,22.788
1035,7,Standard Class,Consumer,Iowa,Binders,27.24,6,0.0,13.3476
234,2,Second Class,Consumer,Ohio,Fasteners,40.096,14,0.2,14.5348
234,2,Second Class,Consumer,Ohio,Envelopes,4.72,2,0.2,1.652
234,2,Second Class,Consumer,Ohio,Paper,23.976,3,0.2,7.4925
234,2,Second Class,Consumer,Ohio,Envelopes,130.464,6,0.2,44.0316
423,4,Standard Class,Consumer,Washington,Tables,787.53,3,0.0,165.3813
457,5,Standard Class,Corporate,Tennessee,Binders,157.794,1,0.7,-115.7156
891,3,First Class,Consumer,Delaware,Furnishings,47.04,3,0.0,18.3456
891,3,First Class,Consumer,Delaware,Binders,30.84,4,0.0,13.878
891,3,First Class,Consumer,Delaware,Storage,226.56,6,0.0,63.4368
891,3,First Class,Consumer,Delaware,Envelopes,115.02,9,0.0,51.759
891,3,First Class,Consumer,Delaware,Phones,68.04,7,0.0,19.7316
357,2,Second Class,Home Office,Texas,Chairs,600.558,3,0.3,-8.5794
260,5,Standard Class,Consumer,Illinois,Tables,617.7,6,0.5,-407.682
1038,4,Second Class,Home Office,California,Chairs,81.424,2,0.2,-9.1602
1038,4,Second Class,Home Office,California,Furnishings,238.56,3,0.0,26.2416
1014,6,Standard Class,Consumer,California,Paper,20.04,3,0.0,9.6192
1014,6,Standard Class,Consumer,California,Paper,35.44,1,0.0,16.6568
1014,6,Standard Class,Consumer,California,Art,11.52,4,0.0,3.456
1014,6,Standard Class,Consumer,California,Fasteners,4.02,2,0.0,1.9698
1014,6,Standard Class,Consumer,California,Binders,76.176,3,0.2,26.6616
1014,6,Standard Class,Consumer,California,Supplies,65.88,6,0.0,18.4464
1014,6,Standard Class,Consumer,California,Furnishings,43.12,14,0.0,20.6976
976,2,Second Class,Corporate,Pennsylvania,Furnishings,82.8,2,0.2,10.35
612,5,Standard Class,Consumer,California,Storage,671.93,7,0.0,20.1579
292,6,Standard Class,Home Office,Ohio,Furnishings,93.888,4,0.2,12.9096
1067,4,Standard Class,Corporate,Wisconsin,Phones,384.45,11,0.0,103.8015
1067,4,Standard Class,Corporate,Wisconsin,Phones,149.97,3,0.0,5.9988
1067,4,Standard Class,Corporate,Wisconsin,Chairs,1951.84,8,0.0,585.552
1067,4,Standard Class,Corporate,Wisconsin,Binders,171.55,5,0.0,80.6285
800,3,First Class,Home Office,Arizona,Appliances,157.92,5,0.2,17.766
800,3,First Class,Home Office,Arizona,Phones,203.184,2,0.2,15.2388
513,2,First Class,Corporate,California,Paper,58.38,7,0.0,26.271
513,2,First Class,Corporate,California,Paper,105.52,4,0.0,48.5392
513,2,First Class,Corporate,California,Storage,80.88,6,0.0,21.0288
510,6,Standard Class,Home Office,Washington,Art,6.63,3,0.0,1.7901
57,5,Second Class,Consumer,Washington,Chairs,457.568,2,0.2,51.4764
1052,4,Standard Class,Consumer,Oklahoma,Labels,14.62,2,0.0,6.8714
1052,4,Standard Class,Consumer,Oklahoma,Phones,944.93,7,0.0,236.2325
859,1,First Class,Consumer,California,Paper,5.98,1,0.0,2.691
724,3,Second Class,Consumer,Pennsylvania,Accessories,54.384,2,0.2,1.3596
1048,4,Standard Class,Consumer,New Mexico,Envelopes,28.4,5,0.0,13.348
1039,4,Standard Class,Consumer,Washington,Binders,27.68,2,0.2,9.688
248,4,Standard Class,Consumer,Texas,Art,9.936,3,0.2,2.7324
248,4,Standard Class,Consumer,Texas,Machines,8159.952,8,0.4,-1359.992
248,4,Standard Class,Consumer,Texas,Storage,275.928,3,0.2,-58.6347
248,4,Standard Class,Consumer,Texas,Chairs,1740.06,9,0.3,-24.858
248,4,Standard Class,Consumer,Texas,Art,32.064,6,0.2,6.8136
248,4,Standard Class,Consumer,Texas,Appliances,177.98,5,0.8,-453.849
248,4,Standard Class,Consumer,Texas,Phones,143.976,3,0.2,8.9985
214,4,Standard Class,Consumer,California,Paper,20.94,3,0.0,9.8418
214,4,Standard Class,Consumer,California,Paper,110.96,2,0.0,53.2608
214,4,Standard Class,Consumer,California,Chairs,340.144,7,0.2,21.259
254,5,Standard Class,Corporate,Illinois,Appliances,52.448,2,0.8,-131.12
254,5,Standard Class,Corporate,Illinois,Labels,20.16,4,0.2,6.552
687,2,Second Class,Consumer,Ohio,Chairs,396.802,7,0.3,-11.3372
687,2,Second Class,Consumer,Ohio,Supplies,15.88,5,0.2,-3.7715
711,4,Standard Class,Home Office,New York,Art,3.28,1,0.0,1.4104
336,4,Second Class,Corporate,Illinois,Storage,24.816,2,0.2,1.8612
336,4,Second Class,Corporate,Illinois,Accessories,408.744,7,0.2,76.6395
320,5,Second Class,Home Office,Louisiana,Phones,503.96,4,0.0,131.0296
320,5,Second Class,Home Office,Louisiana,Phones,149.95,5,0.0,41.986
320,5,Second Class,Home Office,Louisiana,Accessories,29.0,2,0.0,7.25
1060,4,Standard Class,Consumer,Connecticut,Binders,7.16,2,0.0,3.4368
235,4,Standard Class,Home Office,California,Accessories,176.8,8,0.0,22.984
925,6,Standard Class,Corporate,Texas,Storage,37.224,3,0.2,3.7224
925,6,Standard Class,Corporate,Texas,Paper,20.016,3,0.2,6.255
647,2,First Class,Home Office,New York,Bookcases,899.136,4,0.2,112.392
647,2,First Class,Home Office,New York,Phones,71.76,6,0.0,20.0928
647,2,First Class,Home Office,New York,Paper,51.84,8,0.0,24.8832
647,2,First Class,Home Office,New York,Bookcases,626.352,3,0.2,46.9764
647,2,First Class,Home Office,New York,Art,19.9,5,0.0,6.567
666,6,Standard Class,Corporate,California,Envelopes,14.28,7,0.0,6.7116
77,4,Standard Class,Consumer,Ohio,Art,7.408,2,0.2,1.2038
77,4,Standard Class,Consumer,Ohio,Art,6.048,3,0.2,1.5876
212,2,First Class,Consumer,Colorado,Tables,218.75,2,0.5,-161.875
212,2,First Class,Consumer,Colorado,Appliances,2.6,1,0.2,0.2925
402,4,Second Class,Corporate,Texas,Accessories,20.8,2,0.2,6.5
364,7,Standard Class,Corporate,Ohio,Labels,23.68,2,0.2,8.88
364,7,Standard Class,Corporate,Ohio,Bookcases,452.45,5,0.5,-244.323
364,7,Standard Class,Corporate,Ohio,Phones,62.982,3,0.4,-14.6958
364,7,Standard Class,Corporate,Ohio,Machines,1188.0,9,0.7,-950.4
364,7,Standard Class,Corporate,Ohio,Accessories,89.584,2,0.2,4.4792
1029,4,Standard Class,Consumer,California,Storage,93.06,6,0.0,26.0568
