order_day_index,ship_delay_days,Ship Mode,Segment,State,Sub-Category,Sales,Quantity,Discount,Profit,Order Date
1040,3,Second Class,Consumer,Kentucky,Bookcases,261.96,2,0.0,41.9136,2016-11-08
1040,3,Second Class,Consumer,Kentucky,Chairs,731.94,3,0.0,219.582,2016-11-08
891,4,Second Class,Corporate,California,Labels,14.62,2,0.0,6.8714,2016-06-12
646,7,Standard Class,Consumer,Florida,Tables,957.5775,5,0.45,-383.031,2015-10-11
646,7,Standard Class,Consumer,Florida,Storage,22.368,2,0.2,2.5164,2015-10-11
157,5,Standard Class,Consumer,California,Furnishings,48.86,7,0.0,14.1694,2014-06-09
157,5,Standard Class,Consumer,California,Art,7.28,4,0.0,1.9656,2014-06-09
157,5,Standard Class,Consumer,California,Phones,907.152,6,0.2,90.7152,2014-06-09
157,5,Standard Class,Consumer,California,Binders,18.504,3,0.2,5.7825,2014-06-09
157,5,Standard Class,Consumer,California,Appliances,114.9,5,0.0,34.47,2014-06-09
157,5,Standard Class,Consumer,California,Tables,1706.184,9,0.2,85.3092,2014-06-09
157,5,Standard Class,Consumer,California,Phones,911.424,4,0.2,68.3568,2014-06-09
1067,5,Standard Class,Consumer,Washington,Binders,407.976,3,0.2,132.5922,2016-12-05
688,4,Standard Class,Home Office,Texas,Appliances,68.81,5,0.8,-123.858,2015-11-22
688,4,Standard Class,Home Office,Texas,Binders,2.544,3,0.8,-3.816,2015-11-22
312,7,Standard Class,Consumer,Wisconsin,Storage,665.88,6,0.0,13.3176,2014-11-11
130,2,Second Class,Consumer,Utah,Storage,55.5,2,0.0,9.99,2014-05-13
236,5,Second Class,Consumer,California,Art,8.56,2,0.0,2.4824,2014-08-27
236,5,Second Class,Consumer,California,Phones,213.48,3,0.2,16.011,2014-08-27
236,5,Second Class,Consumer,California,Binders,22.72,4,0.2,7.384,2014-08-27
1071,4,Standard Class,Corporate,Nebraska,Art,19.46,7,0.0,5.0596,2016-12-09
1071,4,Standard Class,Corporate,Nebraska,Appliances,60.34,7,0.0,15.6884,2016-12-09
630,5,Standard Class,Consumer,Utah,Tables,1044.63,3,0.0,240.2649,2015-09-25
