Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_day_index,ship_delay_days
2015-12-15,2015-12-19,Standard Class,Corporate,United States,Florida,South,Office Supplies,Art,69.1807,5,0.0,344.3385,711,4
2015-02-26,2015-03-01,Standard Class,Home Office,United States,New York,East,Furniture,Furnishings,84.6903,2,0.0,38.3706,419,3
2016-12-31,2017-01-04,First Class,Corporate,United States,Missouri,Central,Office Supplies,Fasteners,38.2971,4,0.2,-101.135,1093,4
2016-12-30,2017-01-03,Second Class,Corporate,United States,California,West,Office Supplies,Storage,70.6598,5,0.0,3921.7729,1092,4
2014-06-25,2014-06-30,Standard Class,Consumer,United States,California,West,Office Supplies,Art,50.2572,2,0.0,59.7029,173,5
2016-09-27,2016-10-03,Standard Class,Consumer,United States,North Carolina,South,Office Supplies,Paper,81.3969,3,0.0,32.2001,998,6
2016-03-24,2016-03-27,Standard Class,Consumer,United States,California,West,Furniture,Chairs,95.5431,2,0.0,125.9359,811,3
2016-05-19,2016-05-20,First Class,Consumer,United States,Nevada,West,Office Supplies,Labels,222.8649,6,0.0,315.836,867,1
2015-10-23,2015-10-26,Standard Class,Home Office,United States,North Carolina,South,Office Supplies,Art,767.7765,3,0.7,105.0409,658,3
2015-02-15,2015-02-18,Standard Class,Home Office,United States,Florida,South,Office Supplies,Storage,68.3403,6,0.0,4336.6924,408,3
2016-08-20,2016-08-22,Second Class,Consumer,United States,California,West,Furniture,Furnishings,87.1563,2,0.0,-56.8338,960,2
2016-02-06,2016-02-09,Standard Class,Consumer,United States,Arkansas,South,Office Supplies,Storage,104.5115,2,0.0,36.989,764,3
2015-02-18,2015-02-19,Same Day,Home Office,United States,Illinois,Central,Office Supplies,Paper,83.936,2,0.2,38.2953,411,1
2016-08-28,2016-08-31,Second Class,Corporate,United States,Illinois,Central,Office Supplies,Envelopes,59.5469,4,0.0,84.9362,968,3
2016-03-07,2016-03-10,Standard Class,Consumer,United States,Oregon,West,Furniture,Chairs,215.9795,2,0.0,24.1628,794,3
2014-07-13,2014-07-16,Standard Class,Consumer,United States,Maryland,East,Furniture,Furnishings,64.2747,2,0.0,20.0986,191,3
2016-08-24,2016-08-25,First Class,Corporate,United States,Kansas,Central,Furniture,Chairs,438.7769,2,0.0,56.6194,964,1
2016-01-25,2016-01-29,First Class,Consumer,United States,California,West,Furniture,Chairs,77.8966,8,0.0,-15.6375,752,4
2016-12-31,2017-01-05,Second Class,Home Office,United States,Pennsylvania,East,Technology,Accessories,291.7005,5,0.2,-6.6837,1093,5
2016-06-10,2016-06-13,Standard Class,Consumer,United States,New York,East,Office Supplies,Envelopes,465.5251,3,0.2,22.5124,889,3
2016-03-19,2016-03-21,Second Class,Consumer,United States,Ohio,East,Office Supplies,Paper,65.0734,9,0.0,13.505,806,2
2016-03-24,2016-03-27,Standard Class,Consumer,United States,California,West,Technology,Phones,292.3824,2,0.0,-1.9413,811,3
2015-12-25,2015-12-31,Standard Class,Consumer,United States,Connecticut,East,Office Supplies,Paper,68.9291,5,0.0,218.2964,721,6
2016-04-06,2016-04-09,Standard Class,Home Office,United States,Montana,West,Office Supplies,Paper,93.4652,2,0.0,40.7328,824,3
2016-03-06,2016-03-12,Standard Class,Home Office,United States,North Carolina,South,Office Supplies,Art,69.9571,2,0.0,226.5079,793,6
2016-11-24,2016-11-27,Standard Class,Corporate,United States,Iowa,Central,Office Supplies,Storage,632.7648,2,0.0,51.0484,1056,3
2016-03-31,2016-04-05,Second Class,Consumer,United States,New York,East,Office Supplies,Paper,92.7003,6,0.0,24.6257,818,5
2014-12-04,2014-12-07,Standard Class,Consumer,United States,Illinois,Central,Office Supplies,Binders,33.7194,2,0.0,111.907,335,3
2016-09-15,2016-09-18,Standard Class,Corporate,United States,Ohio,East,Technology,Accessories,44.8658,8,0.2,77.0756,986,3
2014-12-23,2014-12-28,Standard Class,Consumer,United States,Illinois,Central,Office Supplies,Paper,70.3277,6,0.0,29.3407,354,5
