Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_day_index,ship_delay_days
2014-10-05,2014-10-09,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,29.5159,3,0.0,20.6242,275,4
2015-12-25,2015-12-29,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,0.836,3,0.0,9.8265,721,4
2016-11-11,2016-11-15,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Binders,0.836,2,0.2,-3.7382,1043,4
2016-11-18,2016-11-22,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Binders,30.955,3,0.2,11.3401,1050,4
2016-11-16,2016-11-20,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Binders,51.2508,2,0.7,-15.3772,1048,4
2015-12-12,2015-12-17,Standard Class,Consumer,United States,California,West,Office Supplies,Storage,132.5636,3,0.0,64.9048,708,5
2016-11-25,2016-11-29,Standard Class,Consumer,United States,Texas,Central,Office Supplies,Binders,29.472,2,0.2,3.4415,1057,4
2016-11-15,2016-11-19,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,10.9874,2,0.0,6.9811,1047,4
2015-12-11,2015-12-15,Standard Class,Consumer,United States,California,West,Technology,Phones,214.709,3,0.0,88.4835,707,4
2016-12-14,2016-12-17,Standard Class,Consumer,United States,California,West,Office Supplies,Binders,82.7043,3,0.2,11.9117,1076,3
2016-10-02,2016-10-06,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,42.9536,3,0.0,20.0409,1003,4
2016-12-31,2017-01-04,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,11.2495,3,0.0,27.9813,1093,4
2016-11-01,2016-11-05,Standard Class,Consumer,United States,California,West,Technology,Phones,52.7395,3,0.2,2.0468,1033,4
2015-10-04,2015-10-08,Standard Class,Consumer,United States,California,West,Office Supplies,Storage,175.7417,3,0.0,11.1517,639,4
2016-12-06,2016-12-10,Standard Class,Consumer,United States,California,West,Furniture,Chairs,429.9288,3,0.2,48.6409,1068,4
2014-12-06,2014-12-09,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,91.0716,3,0.0,13.8676,337,3
2016-09-20,2016-09-24,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,25.3298,3,0.0,-1.9678,991,4
2016-10-13,2016-10-17,Standard Class,Consumer,United States,California,West,Office Supplies,Paper,39.378,3,0.0,10.2861,1014,4
2016-11-09,2016-11-14,Standard Class,Consumer,United States,California,West,Office Supplies,Storage,37.973,3,0.2,19.4052,1041,5
2016-10-07,2016-10-11,Standard Class,Consumer,United States,California,West,Office Supplies,Binders,48.785,2,0.2,-4.2298,1008,4
2015-12-01,2015-12-06,Standard Class,Consumer,United States,New York,East,Furniture,Chairs,189.6202,3,0.0,108.4052,697,5
